"","1","2","3","4","5","6","7","8","9"
"620","TBA","COL",NA,NA,NA,NA,NA,NA,NA
"621","LAN","LAN","LAN",NA,NA,NA,NA,NA,NA
"622","DET",NA,NA,NA,NA,NA,NA,NA,NA
"623","SEA","SEA",NA,NA,NA,NA,NA,NA,NA
"624","MIA",NA,NA,NA,NA,NA,NA,NA,NA
"625","LAN","LAN","LAN","LAN","LAN",NA,NA,NA,NA
"626","OAK","COL","LAN","LAN","SLN",NA,NA,NA,NA
"627","BOS","BOS","BOS","NYA","NYA",NA,NA,NA,NA
"628","ARI","HOU","CIN","TBA",NA,NA,NA,NA,NA
"629","LAN","LAN",NA,NA,NA,NA,NA,NA,NA
"630","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"631","TOR","TOR","TOR","TOR","TOR",NA,NA,NA,NA
"632","ARI","LAA","LAA",NA,NA,NA,NA,NA,NA
"633","LAN","LAN","MIA","MIA","MIA","NYA",NA,NA,NA
"634","TEX","NYA","NYA",NA,NA,NA,NA,NA,NA
"635","SDN","SDN","SDN",NA,NA,NA,NA,NA,NA
"636","COL","COL","COL",NA,NA,NA,NA,NA,NA
"637","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"638","KCA","KCA","KCA","KCA","KCA",NA,NA,NA,NA
"639","CHA","CHA","MIN","MIN","MIN","MIN",NA,NA,NA
"640","BOS",NA,NA,NA,NA,NA,NA,NA,NA
"641","TOR","TOR","TBA","TBA","WAS",NA,NA,NA,NA
"642","WAS","WAS","WAS","WAS","WAS",NA,NA,NA,NA
"643","MIL","MIL","MIL","MIL","TOR",NA,NA,NA,NA
"644","LAN","LAN","LAN","LAN","LAN",NA,NA,NA,NA
"645","NYN","ARI",NA,NA,NA,NA,NA,NA,NA
"646","LAN","BAL","NYN","ATL",NA,NA,NA,NA,NA
"647","CLE",NA,NA,NA,NA,NA,NA,NA,NA
"648","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"649","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"650","KCA","KCA","MIL","SDN",NA,NA,NA,NA,NA
"651","NYN","NYN","NYN","NYN",NA,NA,NA,NA,NA
"652","DET","DET",NA,NA,NA,NA,NA,NA,NA
"653","TBA","TBA","TBA","PIT","NYN","HOU",NA,NA,NA
"654","TOR","SEA","SEA","SEA",NA,NA,NA,NA,NA
"655","MIL","MIL",NA,NA,NA,NA,NA,NA,NA
"656","TEX",NA,NA,NA,NA,NA,NA,NA,NA
"657","LAA",NA,NA,NA,NA,NA,NA,NA,NA
"658","LAN","LAN","LAN","LAN",NA,NA,NA,NA,NA
"659","TEX",NA,NA,NA,NA,NA,NA,NA,NA
"660","TEX","TEX","CHN","BAL","HOU","HOU",NA,NA,NA
"661","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"662","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"663","TEX","TEX","TEX","TEX","TEX","DET",NA,NA,NA
"664","MIA","MIA","MIA",NA,NA,NA,NA,NA,NA
"665","DET",NA,NA,NA,NA,NA,NA,NA,NA
"666","SLN","HOU",NA,NA,NA,NA,NA,NA,NA
"667","DET",NA,NA,NA,NA,NA,NA,NA,NA
"668","HOU","HOU","HOU",NA,NA,NA,NA,NA,NA
"669","MIL","DET","DET","TEX","TEX",NA,NA,NA,NA
"670","COL","COL","LAA","TEX",NA,NA,NA,NA,NA
"671","MIN","MIN","MIN","MIN",NA,NA,NA,NA,NA
"672","MIL","MIL","MIL","MIL","MIL","HOU",NA,NA,NA
"673","LAN","LAN","LAN",NA,NA,NA,NA,NA,NA
"674","MIL","MIL",NA,NA,NA,NA,NA,NA,NA
"675","SEA","SEA","LAN",NA,NA,NA,NA,NA,NA
"676","TBA","NYA",NA,NA,NA,NA,NA,NA,NA
"677","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"678","OAK","OAK","TEX",NA,NA,NA,NA,NA,NA
"679","KCA","KCA","CIN",NA,NA,NA,NA,NA,NA
"680","CIN",NA,NA,NA,NA,NA,NA,NA,NA
"681","SEA","DET","DET","DET","WAS","WAS",NA,NA,NA
"682","BAL","BAL","BAL","BAL",NA,NA,NA,NA,NA
"683","COL","COL",NA,NA,NA,NA,NA,NA,NA
"684","WAS","WAS",NA,NA,NA,NA,NA,NA,NA
"685","MIA",NA,NA,NA,NA,NA,NA,NA,NA
"686","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"687","NYN","NYN","NYN",NA,NA,NA,NA,NA,NA
"688","BAL","MIN","MIN","MIN","PIT",NA,NA,NA,NA
"689","CHA","CHA","CHA","CHA","CHA",NA,NA,NA,NA
"690","CHA","CHA","CHA","ATL","CLE",NA,NA,NA,NA
"691","MIA","MIA",NA,NA,NA,NA,NA,NA,NA
"692","HOU","ATL",NA,NA,NA,NA,NA,NA,NA
"693","SFN","PHI",NA,NA,NA,NA,NA,NA,NA
"694","TEX","TEX",NA,NA,NA,NA,NA,NA,NA
"695","SFN",NA,NA,NA,NA,NA,NA,NA,NA
"696","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"697","SLN",NA,NA,NA,NA,NA,NA,NA,NA
"698","SDN","SDN","SDN","TBA","TBA",NA,NA,NA,NA
"699","COL","COL","COL","HOU","CHN",NA,NA,NA,NA
"700","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"701","PHI","TOR","HOU","TBA","NYA",NA,NA,NA,NA
"702","TOR","NYN","NYN","CHA",NA,NA,NA,NA,NA
"703","KCA","COL","COL","CIN","OAK","NYA","TOR",NA,NA
"704","KCA","KCA","KCA","SFN","SDN","PHI",NA,NA,NA
"705","CIN","ATL","ATL","MIL","TOR",NA,NA,NA,NA
"706","PHI","PHI",NA,NA,NA,NA,NA,NA,NA
"707","PHI","PHI","WAS","SFN",NA,NA,NA,NA,NA
"708","SEA","SEA","TBA","TBA",NA,NA,NA,NA,NA
"709","SLN",NA,NA,NA,NA,NA,NA,NA,NA
"710","TOR","CHA","TOR","TEX","TEX","KCA","KCA","ATL",NA
"711","CIN","CIN","CIN","CIN","CIN",NA,NA,NA,NA
"712","ATL","ATL","ATL","ATL","ATL",NA,NA,NA,NA
"713","CIN",NA,NA,NA,NA,NA,NA,NA,NA
"714","SLN","SLN","SLN","TEX",NA,NA,NA,NA,NA
"715","SLN","SLN","SLN","LAA","LAA",NA,NA,NA,NA
"716","OAK","OAK",NA,NA,NA,NA,NA,NA,NA
"717","LAN","LAN",NA,NA,NA,NA,NA,NA,NA
"718","COL","COL","COL",NA,NA,NA,NA,NA,NA
"719","SDN","SDN","LAA","LAA","LAA","PIT","TBA",NA,NA
"720","PIT","PIT","MIN","MIN","MIN",NA,NA,NA,NA
"721","OAK","OAK","SLN",NA,NA,NA,NA,NA,NA
"722","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"723","CHN","CHN","TEX",NA,NA,NA,NA,NA,NA
"724","CHN","CLE","CHA",NA,NA,NA,NA,NA,NA
"725","HOU","SDN",NA,NA,NA,NA,NA,NA,NA
"726","TBA","TBA","TBA","OAK","MIN","OAK","OAK",NA,NA
"727","DET","SEA","SEA","SEA","SEA","SEA",NA,NA,NA
"728","LAN","SLN","SLN","MIA",NA,NA,NA,NA,NA
"729","ARI","HOU",NA,NA,NA,NA,NA,NA,NA
"730","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"731","MIL","MIL","MIL","MIL","TEX",NA,NA,NA,NA
"732","TEX",NA,NA,NA,NA,NA,NA,NA,NA
"733","PHI","PHI","PHI","PHI",NA,NA,NA,NA,NA
"734","MIL","MIL",NA,NA,NA,NA,NA,NA,NA
"735","SDN","SDN",NA,NA,NA,NA,NA,NA,NA
"736","ATL",NA,NA,NA,NA,NA,NA,NA,NA
"737","DET","DET","CHA","CHA","CHA",NA,NA,NA,NA
"738","WAS",NA,NA,NA,NA,NA,NA,NA,NA
"739","NYA","NYA","BAL","ATL",NA,NA,NA,NA,NA
"740","SLN","SLN",NA,NA,NA,NA,NA,NA,NA
"741","SFN","SFN","SFN","SFN","SFN",NA,NA,NA,NA
"742","SLN","SLN","SLN","SLN","SLN",NA,NA,NA,NA
"743","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"744","TEX","CHA","CHA","CHA",NA,NA,NA,NA,NA
"745","PHI","PHI","PHI",NA,NA,NA,NA,NA,NA
"746","LAN",NA,NA,NA,NA,NA,NA,NA,NA
"747","LAN","LAN",NA,NA,NA,NA,NA,NA,NA
"748","NYA","NYA","NYA","NYA","NYA",NA,NA,NA,NA
"749","LAN","COL",NA,NA,NA,NA,NA,NA,NA
"750","COL",NA,NA,NA,NA,NA,NA,NA,NA
"751","COL",NA,NA,NA,NA,NA,NA,NA,NA
"752","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"753","CHN","CHN","CHN","TEX","MIL","MIL",NA,NA,NA
"754","SLN",NA,NA,NA,NA,NA,NA,NA,NA
"755","BOS",NA,NA,NA,NA,NA,NA,NA,NA
"756","ATL","ATL","HOU",NA,NA,NA,NA,NA,NA
"757","CHN",NA,NA,NA,NA,NA,NA,NA,NA
"758","WAS","MIA","SFN",NA,NA,NA,NA,NA,NA
"759","BAL","BAL","BAL",NA,NA,NA,NA,NA,NA
"760","ATL","ATL","ATL","SFN",NA,NA,NA,NA,NA
"761","NYN","NYN","NYN","NYN","NYN",NA,NA,NA,NA
"762","LAA","TBA","TBA",NA,NA,NA,NA,NA,NA
"763","MIL","MIL","MIL",NA,NA,NA,NA,NA,NA
"764","TEX","TEX","TEX","OAK","OAK",NA,NA,NA,NA
"765","TEX",NA,NA,NA,NA,NA,NA,NA,NA
"766","CLE","BOS","CHN","TOR","TEX",NA,NA,NA,NA
"767","NYN","NYN","CHN","COL",NA,NA,NA,NA,NA
"768","KCA","KCA","KCA","TOR",NA,NA,NA,NA,NA
"769","COL","COL","CLE","CLE",NA,NA,NA,NA,NA
"770","KCA","KCA","KCA","KCA","LAA",NA,NA,NA,NA
"771","LAN",NA,NA,NA,NA,NA,NA,NA,NA
"772","MIN","MIN","MIN",NA,NA,NA,NA,NA,NA
"773","PHI","PHI",NA,NA,NA,NA,NA,NA,NA
"774","SFN","SFN","CHA","CHA","CHA","LAA",NA,NA,NA
"775","ARI","SFN","CHN","SEA","TOR","MIA",NA,NA,NA
"776","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"777","SEA","TBA","TBA","TEX","CLE","TEX",NA,NA,NA
"778","LAN","CHA","CHA",NA,NA,NA,NA,NA,NA
"779","MIL","MIL",NA,NA,NA,NA,NA,NA,NA
"780","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"781","TOR",NA,NA,NA,NA,NA,NA,NA,NA
"782","PHI",NA,NA,NA,NA,NA,NA,NA,NA
"783","OAK","OAK",NA,NA,NA,NA,NA,NA,NA
"784","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"785","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"786","NYN","NYN",NA,NA,NA,NA,NA,NA,NA
"787","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"788","TOR","TOR","TOR",NA,NA,NA,NA,NA,NA
"789","ARI","ARI","ARI","ARI","ARI",NA,NA,NA,NA
"790","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"791","TBA","TBA","TBA","TBA","TBA",NA,NA,NA,NA
"792","CIN","WAS","OAK","BOS","BOS","OAK","ATL","KCA",NA
"793","TOR","CLE","CLE","CLE",NA,NA,NA,NA,NA
"794","MIL","MIL","MIL","MIL","MIL","HOU",NA,NA,NA
"795","COL","MIL","MIL",NA,NA,NA,NA,NA,NA
"796","CLE","CLE","PIT","PIT","PHI",NA,NA,NA,NA
"797","BOS",NA,NA,NA,NA,NA,NA,NA,NA
"798","BOS","BOS","LAN","LAN","LAN","LAN",NA,NA,NA
"799","ATL","MIL","MIL","DET",NA,NA,NA,NA,NA
"800","SDN","TEX","CHN","NYA",NA,NA,NA,NA,NA
"801","COL","COL","COL","COL","COL",NA,NA,NA,NA
"802","TEX",NA,NA,NA,NA,NA,NA,NA,NA
"803","COL","HOU","TOR","HOU",NA,NA,NA,NA,NA
"804","DET",NA,NA,NA,NA,NA,NA,NA,NA
"805","OAK","WAS","WAS","WAS","WAS",NA,NA,NA,NA
"806","HOU","HOU","HOU","HOU",NA,NA,NA,NA,NA
"807","SLN","SLN",NA,NA,NA,NA,NA,NA,NA
"808","BAL","TEX","WAS","MIL",NA,NA,NA,NA,NA
"809","BAL","BAL","BAL","BAL",NA,NA,NA,NA,NA
"810","CHA",NA,NA,NA,NA,NA,NA,NA,NA
"811","PHI",NA,NA,NA,NA,NA,NA,NA,NA
"812","PHI",NA,NA,NA,NA,NA,NA,NA,NA
"813","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"814","KCA","KCA","KCA","KCA","KCA",NA,NA,NA,NA
"815","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"816","LAN","LAN","LAN","LAN","MIA",NA,NA,NA,NA
"817","KCA","KCA",NA,NA,NA,NA,NA,NA,NA
"818","WAS","WAS","MIL","MIL","DET",NA,NA,NA,NA
"819","TOR","TOR","TOR","DET",NA,NA,NA,NA,NA
"820","ARI","ARI","ARI",NA,NA,NA,NA,NA,NA
"821","ATL","ATL","ATL","ARI",NA,NA,NA,NA,NA
"822","LAA",NA,NA,NA,NA,NA,NA,NA,NA
"823","CHN",NA,NA,NA,NA,NA,NA,NA,NA
"824","WAS",NA,NA,NA,NA,NA,NA,NA,NA
"825","MIN",NA,NA,NA,NA,NA,NA,NA,NA
"826","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"827","NYA","NYA","NYA","NYN","NYN",NA,NA,NA,NA
"828","SDN","SDN","SDN","LAN",NA,NA,NA,NA,NA
"829","TOR","OAK",NA,NA,NA,NA,NA,NA,NA
"830","CHA","SEA","MIN",NA,NA,NA,NA,NA,NA
"831","COL",NA,NA,NA,NA,NA,NA,NA,NA
"832","OAK","OAK","OAK",NA,NA,NA,NA,NA,NA
"833","MIA",NA,NA,NA,NA,NA,NA,NA,NA
"834","OAK","LAA","LAA","LAA",NA,NA,NA,NA,NA
"835","MIA","MIA",NA,NA,NA,NA,NA,NA,NA
"836","SLN","SLN",NA,NA,NA,NA,NA,NA,NA
"837","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"838","NYA","DET",NA,NA,NA,NA,NA,NA,NA
"839","MIL","MIL",NA,NA,NA,NA,NA,NA,NA
"840","SLN","SLN","HOU","CHA",NA,NA,NA,NA,NA
"841","SDN","SDN","SDN","OAK","HOU",NA,NA,NA,NA
"842","BAL","BAL","CHN","MIA","CIN",NA,NA,NA,NA
"843","CIN","ARI","ARI","NYA",NA,NA,NA,NA,NA
"844","MIL","MIL","LAA","LAN","LAN","LAN",NA,NA,NA
"845","SLN","SLN",NA,NA,NA,NA,NA,NA,NA
"846","OAK","OAK",NA,NA,NA,NA,NA,NA,NA
"847","PIT","PIT","PIT","PIT","LAA","ATL",NA,NA,NA
"848","TEX","TEX","CHN","CHN","CHN",NA,NA,NA,NA
"849","HOU","HOU","HOU",NA,NA,NA,NA,NA,NA
"850","LAA",NA,NA,NA,NA,NA,NA,NA,NA
"851","SEA",NA,NA,NA,NA,NA,NA,NA,NA
"852","LAN","LAN",NA,NA,NA,NA,NA,NA,NA
"853","PIT",NA,NA,NA,NA,NA,NA,NA,NA
"854","LAN","LAN","LAN","CHA","CHA",NA,NA,NA,NA
"855","CHA",NA,NA,NA,NA,NA,NA,NA,NA
"856","LAN","LAN","LAN","CHN","MIN",NA,NA,NA,NA
"857","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"858","DET",NA,NA,NA,NA,NA,NA,NA,NA
"859","CLE","BAL","TBA","MIL",NA,NA,NA,NA,NA
"860","COL",NA,NA,NA,NA,NA,NA,NA,NA
"861","BAL","COL","KCA","KCA","KCA","KCA",NA,NA,NA
"862","SEA","SEA","SEA","SEA",NA,NA,NA,NA,NA
"863","ARI","KCA","LAA","SFN",NA,NA,NA,NA,NA
"864","TBA","TBA","TBA","TBA",NA,NA,NA,NA,NA
"865","TBA",NA,NA,NA,NA,NA,NA,NA,NA
"866","SDN","SDN","SDN","HOU",NA,NA,NA,NA,NA
"867","LAN","LAN","PHI",NA,NA,NA,NA,NA,NA
"868","SDN","SDN","SDN",NA,NA,NA,NA,NA,NA
"869","MIN","SFN",NA,NA,NA,NA,NA,NA,NA
"870","CLE","CLE","NYA",NA,NA,NA,NA,NA,NA
"871","CLE","CLE","CLE","CLE","CLE",NA,NA,NA,NA
"872","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"873","PIT","PIT","TOR",NA,NA,NA,NA,NA,NA
"874","SDN","OAK",NA,NA,NA,NA,NA,NA,NA
"875","WAS","MIL","LAN","LAN",NA,NA,NA,NA,NA
"876","NYN","NYN","CHN","WAS","WAS",NA,NA,NA,NA
"877","ATL","ATL","COL",NA,NA,NA,NA,NA,NA
"878","PHI","PHI","PHI",NA,NA,NA,NA,NA,NA
"879","HOU","SFN","BAL",NA,NA,NA,NA,NA,NA
"880","SFN",NA,NA,NA,NA,NA,NA,NA,NA
"881","SEA",NA,NA,NA,NA,NA,NA,NA,NA
"882","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"883","TEX",NA,NA,NA,NA,NA,NA,NA,NA
"884","PHI","PHI","PHI","PHI","PHI","TEX",NA,NA,NA
"885","CIN","CIN","CIN",NA,NA,NA,NA,NA,NA
"886","TEX","TEX","LAA","LAA","TEX",NA,NA,NA,NA
"887","SLN",NA,NA,NA,NA,NA,NA,NA,NA
"888","COL","BAL","BAL","CHN","OAK","CHN",NA,NA,NA
"889","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"890","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"891","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"892","FLO","MIA","MIA","MIA","MIA",NA,NA,NA,NA
"893","MIL","CIN",NA,NA,NA,NA,NA,NA,NA
"894","CIN","CIN","CIN","TBA","BOS",NA,NA,NA,NA
"895","CLE","CLE","CIN","CIN",NA,NA,NA,NA,NA
"896","PIT","PIT","BOS",NA,NA,NA,NA,NA,NA
"897","ATL","ATL","LAA",NA,NA,NA,NA,NA,NA
"898","HOU","HOU","TOR","TOR","TOR","SEA","PIT",NA,NA
"899","SDN","LAN","SEA","NYN","ATL","PHI",NA,NA,NA
"900","OAK",NA,NA,NA,NA,NA,NA,NA,NA
"901","DET","DET",NA,NA,NA,NA,NA,NA,NA
"902","BAL","BAL","BAL","BAL","BAL",NA,NA,NA,NA
"903","LAA","LAA","WAS","LAN","MIA","CHN",NA,NA,NA
"904","WAS","WAS","WAS","WAS",NA,NA,NA,NA,NA
"905","CHA","HOU","HOU","HOU","HOU",NA,NA,NA,NA
"906","LAA",NA,NA,NA,NA,NA,NA,NA,NA
"907","PIT","PIT","PIT","PIT","PIT",NA,NA,NA,NA
"908","TEX","TEX","TEX","TEX","TEX",NA,NA,NA,NA
"909","SLN",NA,NA,NA,NA,NA,NA,NA,NA
"910","NYN","CIN",NA,NA,NA,NA,NA,NA,NA
"911","COL","ARI","ARI","HOU",NA,NA,NA,NA,NA
"912","MIL","MIL","SEA","PIT",NA,NA,NA,NA,NA
"913","NYN","NYN","NYN",NA,NA,NA,NA,NA,NA
"914","BOS",NA,NA,NA,NA,NA,NA,NA,NA
"915","FLO","MIA","MIA","MIA","LAN",NA,NA,NA,NA
"916","SLN",NA,NA,NA,NA,NA,NA,NA,NA
"917","MIL","LAA","NYN","COL","COL","TOR",NA,NA,NA
"918","LAN",NA,NA,NA,NA,NA,NA,NA,NA
"919","SDN","LAA",NA,NA,NA,NA,NA,NA,NA
"920","FLO","MIA","KCA","KCA","CLE",NA,NA,NA,NA
"921","CLE",NA,NA,NA,NA,NA,NA,NA,NA
"922","SDN","SDN","SDN","SDN","NYA","NYA",NA,NA,NA
"923","MIA","LAA",NA,NA,NA,NA,NA,NA,NA
"924","CHA","CHA",NA,NA,NA,NA,NA,NA,NA
"925","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"926","TOR","MIA","MIA","MIA",NA,NA,NA,NA,NA
"927","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"928","NYN","NYN",NA,NA,NA,NA,NA,NA,NA
"929","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"930","CIN","CIN","CIN","CIN","LAN",NA,NA,NA,NA
"931","TBA","TBA","TBA","TBA","ARI",NA,NA,NA,NA
"932","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"933","FLO",NA,NA,NA,NA,NA,NA,NA,NA
"934","COL","COL","COL",NA,NA,NA,NA,NA,NA
"935","SFN","BOS","BOS",NA,NA,NA,NA,NA,NA
"936","MIL","MIL","MIL",NA,NA,NA,NA,NA,NA
"937","CHN","CHN",NA,NA,NA,NA,NA,NA,NA
"938","MIN","MIN","MIN","TOR","KCA","TOR",NA,NA,NA
"939","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"940","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"941","FLO","SFN",NA,NA,NA,NA,NA,NA,NA
"942","CIN","SDN","SDN",NA,NA,NA,NA,NA,NA
"943","PHI","PHI","PHI",NA,NA,NA,NA,NA,NA
"944","ARI","ARI","ARI","ARI",NA,NA,NA,NA,NA
"945","ATL",NA,NA,NA,NA,NA,NA,NA,NA
"946","HOU","MIA","LAN",NA,NA,NA,NA,NA,NA
"947","SEA","SEA","SEA","SEA","SEA",NA,NA,NA,NA
"948","PIT","MIA","PIT",NA,NA,NA,NA,NA,NA
"949","WAS","ATL","MIL",NA,NA,NA,NA,NA,NA
"950","TEX",NA,NA,NA,NA,NA,NA,NA,NA
"951","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"952","CHA","MIN","COL",NA,NA,NA,NA,NA,NA
"953","CIN","COL","LAN",NA,NA,NA,NA,NA,NA
"954","PHI","PHI",NA,NA,NA,NA,NA,NA,NA
"955","MIL","NYN",NA,NA,NA,NA,NA,NA,NA
"956","NYN","NYN",NA,NA,NA,NA,NA,NA,NA
"957","LAN","LAN","MIL","MIL",NA,NA,NA,NA,NA
"958","COL","COL","COL","BOS","CHN",NA,NA,NA,NA
"959","KCA","KCA","KCA","KCA","KCA",NA,NA,NA,NA
"960","PHI",NA,NA,NA,NA,NA,NA,NA,NA
"961","LAA",NA,NA,NA,NA,NA,NA,NA,NA
"962","MIN","MIN","MIN","MIN",NA,NA,NA,NA,NA
"963","CLE","CLE",NA,NA,NA,NA,NA,NA,NA
"964","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"965","LAA","LAA",NA,NA,NA,NA,NA,NA,NA
"966","SFN","SFN",NA,NA,NA,NA,NA,NA,NA
"967","ATL","ATL","ATL","ATL","SLN",NA,NA,NA,NA
"968","MIN","MIN","MIN",NA,NA,NA,NA,NA,NA
"969","ATL","OAK","SFN",NA,NA,NA,NA,NA,NA
"970","SEA",NA,NA,NA,NA,NA,NA,NA,NA
"971","TOR","ARI","ARI","ARI","ARI","ARI",NA,NA,NA
"972","CHN","CHN","MIA","PHI",NA,NA,NA,NA,NA
"973","BOS","BOS","CLE","LAA","NYA","BOS",NA,NA,NA
"974","TOR",NA,NA,NA,NA,NA,NA,NA,NA
"975","SLN",NA,NA,NA,NA,NA,NA,NA,NA
"976","WAS","WAS",NA,NA,NA,NA,NA,NA,NA
"977","BOS","PHI",NA,NA,NA,NA,NA,NA,NA
"978","SDN","CHN",NA,NA,NA,NA,NA,NA,NA
"979","ATL","ATL","ARI",NA,NA,NA,NA,NA,NA
"980","KCA","KCA","KCA","KCA",NA,NA,NA,NA,NA
"981","BAL","BAL","HOU","HOU","HOU",NA,NA,NA,NA
"982","MIN",NA,NA,NA,NA,NA,NA,NA,NA
"983","LAN",NA,NA,NA,NA,NA,NA,NA,NA
"984","DET","DET","DET","DET",NA,NA,NA,NA,NA
"985","PIT",NA,NA,NA,NA,NA,NA,NA,NA
"986","TEX","TEX","TEX","TEX","TEX",NA,NA,NA,NA
"987","KCA","KCA","KCA","KCA","KCA",NA,NA,NA,NA
"988","PHI",NA,NA,NA,NA,NA,NA,NA,NA
"989","SLN","SLN","SLN","SLN","SLN",NA,NA,NA,NA
"990","ARI","CIN","CIN",NA,NA,NA,NA,NA,NA
"991","MIN",NA,NA,NA,NA,NA,NA,NA,NA
"992","PIT","BOS","BOS","BOS",NA,NA,NA,NA,NA
"993","CLE","CLE","CIN",NA,NA,NA,NA,NA,NA
"994","CIN","CIN","CIN","CIN",NA,NA,NA,NA,NA
"995","CIN","PHI","PHI",NA,NA,NA,NA,NA,NA
"996","KCA","KCA","KCA","KCA","KCA",NA,NA,NA,NA
"997","BOS","KCA",NA,NA,NA,NA,NA,NA,NA
"998","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"999","CLE","CLE",NA,NA,NA,NA,NA,NA,NA
"1000","PHI","PHI","PHI","PHI","PHI",NA,NA,NA,NA
"1001","TBA","TBA","LAN","LAN","LAN",NA,NA,NA,NA
"1002","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"1003","ARI","ARI","ARI","ARI",NA,NA,NA,NA,NA
"1004","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"1005","SDN","SDN","CHA",NA,NA,NA,NA,NA,NA
"1006","ATL","ATL","ATL","SFN","SFN",NA,NA,NA,NA
"1007","SFN","SFN",NA,NA,NA,NA,NA,NA,NA
"1008","CLE","CLE","CLE","NYA","SFN","NYA","LAN",NA,NA
"1009","MIN",NA,NA,NA,NA,NA,NA,NA,NA
"1010","PIT","PIT","PIT","PIT","PIT",NA,NA,NA,NA
"1011","MIN","MIN","OAK",NA,NA,NA,NA,NA,NA
"1012","NYA","NYA","NYA","MIN","MIN",NA,NA,NA,NA
"1013","CHA","CHA","HOU",NA,NA,NA,NA,NA,NA
"1014","SDN","SDN","SDN","SDN","BAL","COL",NA,NA,NA
"1015","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"1016","LAA","LAA","DET","DET","MIN",NA,NA,NA,NA
"1017","TEX","BAL","BAL","BAL","BAL","BAL","CHN",NA,NA
"1018","TOR","TOR","TOR",NA,NA,NA,NA,NA,NA
"1019","SDN","TOR",NA,NA,NA,NA,NA,NA,NA
"1020","COL","LAA","LAA","LAA","LAA",NA,NA,NA,NA
"1021","PHI","NYA","SEA","LAA","KCA",NA,NA,NA,NA
"1022","LAA",NA,NA,NA,NA,NA,NA,NA,NA
"1023","NYN","TOR","NYA",NA,NA,NA,NA,NA,NA
"1024","BOS","BOS","BOS","DET","DET",NA,NA,NA,NA
"1025","CIN",NA,NA,NA,NA,NA,NA,NA,NA
"1026","ARI","ARI",NA,NA,NA,NA,NA,NA,NA
"1027","FLO","MIA","DET","DET","KCA","KCA",NA,NA,NA
"1028","DET","DET","OAK","PIT",NA,NA,NA,NA,NA
"1029","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"1030","PIT","TEX",NA,NA,NA,NA,NA,NA,NA
"1031","MIL","BAL","NYA","PIT","SFN","SFN","PIT",NA,NA
"1032","NYN","LAA",NA,NA,NA,NA,NA,NA,NA
"1033","SEA","SEA","SEA","SEA",NA,NA,NA,NA,NA
"1034","BAL","MIL","WAS","CIN",NA,NA,NA,NA,NA
"1035","LAA","LAA","TOR","TOR",NA,NA,NA,NA,NA
"1036","DET","DET","DET","DET","SEA","SEA","CHN",NA,NA
"1037","CHN","ARI",NA,NA,NA,NA,NA,NA,NA
"1038","OAK","BOS",NA,NA,NA,NA,NA,NA,NA
"1039","CHA","SLN","WAS","CHN","CHN","CHN","ATL",NA,NA
"1040","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"1041","TEX",NA,NA,NA,NA,NA,NA,NA,NA
"1042","SLN","SLN","LAA",NA,NA,NA,NA,NA,NA
