"","1","2","3","4","5","6","7","8","9"
"305","CLE","SFN",NA,NA,NA,NA,NA,NA,NA
"306","CIN",NA,NA,NA,NA,NA,NA,NA,NA
"307","OAK","ARI","ARI","ARI","ATL","CHN",NA,NA,NA
"308","KCA","KCA","KCA","KCA","KCA",NA,NA,NA,NA
"309","SFN","SFN","SFN","SFN","SFN",NA,NA,NA,NA
"310","CIN","CIN",NA,NA,NA,NA,NA,NA,NA
"311","LAA","LAA","LAA","LAA",NA,NA,NA,NA,NA
"312","KCA",NA,NA,NA,NA,NA,NA,NA,NA
"313","LAA","LAA","LAA","OAK","OAK","ATL","LAN",NA,NA
"314","BOS","FLO",NA,NA,NA,NA,NA,NA,NA
"315","MIA","MIA","PIT",NA,NA,NA,NA,NA,NA
"316","CHN","CHN","ARI","ARI","LAA",NA,NA,NA,NA
"317","NYN","NYN",NA,NA,NA,NA,NA,NA,NA
"318","SDN","SDN",NA,NA,NA,NA,NA,NA,NA
"319","TOR","CHN","CHN","PHI",NA,NA,NA,NA,NA
"320","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"321","OAK",NA,NA,NA,NA,NA,NA,NA,NA
"322","NYA","NYA","NYA","SEA","SEA",NA,NA,NA,NA
"323","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"324","TBA","CLE",NA,NA,NA,NA,NA,NA,NA
"325","SEA","SEA","MIA","MIA",NA,NA,NA,NA,NA
"326","MIN","MIN",NA,NA,NA,NA,NA,NA,NA
"327","NYN","LAN","LAN","BOS","NYA","NYA",NA,NA,NA
"328","CHN",NA,NA,NA,NA,NA,NA,NA,NA
"329","OAK","OAK",NA,NA,NA,NA,NA,NA,NA
"330","CLE",NA,NA,NA,NA,NA,NA,NA,NA
"331","NYA","NYN","NYN",NA,NA,NA,NA,NA,NA
"332","CLE","CLE","TBA","PHI","LAN","HOU",NA,NA,NA
"333","PHI","SDN","TOR",NA,NA,NA,NA,NA,NA
"334","SLN","SLN",NA,NA,NA,NA,NA,NA,NA
"335","CHN","BOS",NA,NA,NA,NA,NA,NA,NA
"336","HOU","HOU","TOR","ATL","ATL","NYA","WAS",NA,NA
"337","LAA","LAA","LAA","ATL",NA,NA,NA,NA,NA
"338","SLN","SLN","SLN","SLN","SLN",NA,NA,NA,NA
"339","SEA","SEA","BOS","BOS","TEX",NA,NA,NA,NA
"340","CLE","CLE","CLE","CLE",NA,NA,NA,NA,NA
"341","NYN","NYN",NA,NA,NA,NA,NA,NA,NA
"342","CLE","CLE","PHI","CLE","DET","TOR",NA,NA,NA
"343","TOR","TOR",NA,NA,NA,NA,NA,NA,NA
"344","MIL","WAS",NA,NA,NA,NA,NA,NA,NA
"345","LAN","MIN","MIN","KCA",NA,NA,NA,NA,NA
"346","CHA","CHA",NA,NA,NA,NA,NA,NA,NA
"347","MIN","CLE",NA,NA,NA,NA,NA,NA,NA
"348","NYN","NYN",NA,NA,NA,NA,NA,NA,NA
"349","OAK","OAK","HOU","HOU","HOU",NA,NA,NA,NA
"350","TBA","TBA",NA,NA,NA,NA,NA,NA,NA
"351","CHN","SDN","SDN","SDN","SDN",NA,NA,NA,NA
"352","MIN","MIN","BAL","BAL",NA,NA,NA,NA,NA
"353","LAA","LAA",NA,NA,NA,NA,NA,NA,NA
"354","LAN","LAN",NA,NA,NA,NA,NA,NA,NA
"355","DET","DET","DET",NA,NA,NA,NA,NA,NA
"356","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"357","CHN",NA,NA,NA,NA,NA,NA,NA,NA
"358","BOS","BOS",NA,NA,NA,NA,NA,NA,NA
"359","CHN","CHN","CHN","CHN","CHN","SEA","ARI",NA,NA
"360","OAK",NA,NA,NA,NA,NA,NA,NA,NA
"361","ATL",NA,NA,NA,NA,NA,NA,NA,NA
"362","HOU","HOU","HOU","HOU",NA,NA,NA,NA,NA
"363","LAN",NA,NA,NA,NA,NA,NA,NA,NA
"364","TOR","COL",NA,NA,NA,NA,NA,NA,NA
"365","CHA",NA,NA,NA,NA,NA,NA,NA,NA
"366","CHA","COL",NA,NA,NA,NA,NA,NA,NA
"367","CHN","CHN","CHN","CHN","CHN",NA,NA,NA,NA
"368","BOS","BOS",NA,NA,NA,NA,NA,NA,NA
"369","TOR","TOR","TOR","TOR","TOR",NA,NA,NA,NA
"370","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"371","FLO",NA,NA,NA,NA,NA,NA,NA,NA
"372","PIT","NYN","HOU","SDN","PHI",NA,NA,NA,NA
"373","HOU","HOU","HOU","WAS","WAS","WAS","TBA",NA,NA
"374","NYN","NYN","MIL",NA,NA,NA,NA,NA,NA
"375","NYA","NYA","NYA","NYA","PIT",NA,NA,NA,NA
"376","OAK","OAK","OAK","BOS","DET","NYN",NA,NA,NA
"377","COL","COL","COL","COL","ARI",NA,NA,NA,NA
"378","ARI","ARI",NA,NA,NA,NA,NA,NA,NA
"379","SLN","SLN","SLN",NA,NA,NA,NA,NA,NA
"380","NYA","NYA","NYA","DET","DET","KCA",NA,NA,NA
"381","CIN","CIN","CIN","CIN","CIN",NA,NA,NA,NA
"382","CHN",NA,NA,NA,NA,NA,NA,NA,NA
"383","HOU","HOU","HOU",NA,NA,NA,NA,NA,NA
"384","LAA","COL","COL","COL",NA,NA,NA,NA,NA
"385","TEX","BAL","SEA","SEA",NA,NA,NA,NA,NA
"386","NYA","NYA","ARI","ARI",NA,NA,NA,NA,NA
"387","KCA","TOR","OAK","OAK","OAK","OAK",NA,NA,NA
"388","KCA","KCA","KCA","KCA","CLE",NA,NA,NA,NA
"389","BAL","BAL","BAL","BAL",NA,NA,NA,NA,NA
"390","TBA","TEX","TEX","TEX",NA,NA,NA,NA,NA
"391","CLE","CLE","CLE","CLE","CLE",NA,NA,NA,NA
"392","FLO","MIA","LAN","SLN","SLN","SLN",NA,NA,NA
"393","OAK","TEX","TEX",NA,NA,NA,NA,NA,NA
"394","CLE","CLE","CIN","TEX","TEX",NA,NA,NA,NA
"395","SFN","SFN",NA,NA,NA,NA,NA,NA,NA
"396","CIN","CIN",NA,NA,NA,NA,NA,NA,NA
"397","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"398","CIN","CIN","CIN","CIN",NA,NA,NA,NA,NA
"399","PIT","BOS","BOS","SDN","KCA","KCA","ATL",NA,NA
"400","FLO","MIA","MIA","MIA","MIA","SLN",NA,NA,NA
"401","HOU","HOU",NA,NA,NA,NA,NA,NA,NA
"402","NYA","NYA",NA,NA,NA,NA,NA,NA,NA
"403","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"404","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"405","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"406","TEX","TEX",NA,NA,NA,NA,NA,NA,NA
"407","PIT",NA,NA,NA,NA,NA,NA,NA,NA
"408","HOU","HOU",NA,NA,NA,NA,NA,NA,NA
"409","SLN","SLN","SLN","CHA",NA,NA,NA,NA,NA
"410","CHN","CHN","CHN","BAL","BAL","BAL",NA,NA,NA
"411","WAS","WAS","WAS","WAS","OAK","NYN",NA,NA,NA
"412","PHI","PHI",NA,NA,NA,NA,NA,NA,NA
"413","TBA","TBA","TBA","TBA",NA,NA,NA,NA,NA
"414","TOR","LAA",NA,NA,NA,NA,NA,NA,NA
"415","WAS","LAN",NA,NA,NA,NA,NA,NA,NA
"416","FLO","MIA","MIA","CHN","CHN",NA,NA,NA,NA
"417","DET","DET","DET","DET","CHN","TOR",NA,NA,NA
"418","MIN","MIN","TOR",NA,NA,NA,NA,NA,NA
"419","WAS",NA,NA,NA,NA,NA,NA,NA,NA
"420","PIT","PIT","PIT",NA,NA,NA,NA,NA,NA
"421","CHN","CHN","KCA",NA,NA,NA,NA,NA,NA
"422","KCA",NA,NA,NA,NA,NA,NA,NA,NA
"423","KCA","KCA","KCA","KCA","KCA",NA,NA,NA,NA
"424","KCA","KCA","KCA","KCA",NA,NA,NA,NA,NA
"425","DET","DET",NA,NA,NA,NA,NA,NA,NA
"426","ARI","ARI","ARI","ARI","ARI",NA,NA,NA,NA
"427","TBA","TBA","TBA",NA,NA,NA,NA,NA,NA
"428","NYA","OAK","OAK","NYN","NYN",NA,NA,NA,NA
"429","KCA","KCA",NA,NA,NA,NA,NA,NA,NA
"430","KCA",NA,NA,NA,NA,NA,NA,NA,NA
"431","CHN","COL","COL","SFN",NA,NA,NA,NA,NA
"432","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"433","LAA","LAA","LAA","LAA","HOU",NA,NA,NA,NA
"434","MIA",NA,NA,NA,NA,NA,NA,NA,NA
"435","ATL","MIL","TBA","SDN",NA,NA,NA,NA,NA
"436","ATL","ATL","ATL","ATL",NA,NA,NA,NA,NA
"437","CIN","CIN",NA,NA,NA,NA,NA,NA,NA
"438","PHI","PHI","PIT",NA,NA,NA,NA,NA,NA
"439","COL","BOS",NA,NA,NA,NA,NA,NA,NA
"440","ARI","OAK","OAK","OAK","OAK","BOS",NA,NA,NA
"441","SLN",NA,NA,NA,NA,NA,NA,NA,NA
"442","TOR","TOR",NA,NA,NA,NA,NA,NA,NA
"443","TOR",NA,NA,NA,NA,NA,NA,NA,NA
"444","WAS",NA,NA,NA,NA,NA,NA,NA,NA
"445","ARI","ARI","ARI",NA,NA,NA,NA,NA,NA
"446","CIN",NA,NA,NA,NA,NA,NA,NA,NA
"447","CIN","TOR","HOU",NA,NA,NA,NA,NA,NA
"448","SFN","MIA",NA,NA,NA,NA,NA,NA,NA
"449","LAN",NA,NA,NA,NA,NA,NA,NA,NA
"450","ATL",NA,NA,NA,NA,NA,NA,NA,NA
"451","CHN","COL",NA,NA,NA,NA,NA,NA,NA
"452","HOU","HOU","HOU","HOU","TEX",NA,NA,NA,NA
"453","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"454","PIT","PIT","MIN","MIN","LAN","PHI",NA,NA,NA
"455","SEA",NA,NA,NA,NA,NA,NA,NA,NA
"456","HOU","HOU","MIA","MIA",NA,NA,NA,NA,NA
"457","CIN",NA,NA,NA,NA,NA,NA,NA,NA
"458","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"459","TEX","TEX","MIL","MIN",NA,NA,NA,NA,NA
"460","LAN","LAN","OAK",NA,NA,NA,NA,NA,NA
"461","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"462","FLO","MIA","LAA",NA,NA,NA,NA,NA,NA
"463","LAA",NA,NA,NA,NA,NA,NA,NA,NA
"464","ARI","OAK","NYN","LAA","LAA","LAA",NA,NA,NA
"465","CIN","CIN","CIN","CIN","CIN",NA,NA,NA,NA
"466","SLN","SLN","SLN","SLN","BOS","BOS",NA,NA,NA
"467","CHA","CHA","CHA",NA,NA,NA,NA,NA,NA
"468","OAK",NA,NA,NA,NA,NA,NA,NA,NA
"469","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"470","SFN","SFN","SFN","SFN","SFN",NA,NA,NA,NA
"471","BOS","BOS","LAN","LAN","LAN",NA,NA,NA,NA
"472","TOR",NA,NA,NA,NA,NA,NA,NA,NA
"473","OAK","OAK","OAK","OAK","OAK",NA,NA,NA,NA
"474","CLE","CLE",NA,NA,NA,NA,NA,NA,NA
"475","LAA","LAA",NA,NA,NA,NA,NA,NA,NA
"476","DET",NA,NA,NA,NA,NA,NA,NA,NA
"477","PIT",NA,NA,NA,NA,NA,NA,NA,NA
"478","KCA","KCA","KCA","KCA",NA,NA,NA,NA,NA
"479","CLE","HOU",NA,NA,NA,NA,NA,NA,NA
"480","TBA","PIT",NA,NA,NA,NA,NA,NA,NA
